Flight Information:     	                       	                       	   	                   	                	           	             	     	              	     	           	           	        
Launch Date:            	                       	Monday, August 21, 2017	   	                   	Launch Time:    	           	5:05:44 PM   	     	End of Ascent:	     	           	12:48:02 AM	        
Station name:           	                       	                       	   	                   	Number of sonde:	           	00608629     	     	              	     	           	           	        
Ground values:          	                       	                       	   	                   	                	           	             	     	              	     	           	           	        
Pressure:               	                       	871.7 hPa              	   	                   	Temperature:    	           	27.2 °C      	     	Humidity:     	     	           	33 %       	        
Wind Direction:         	                       	333 °                  	   	                   	Wind Speed:     	           	6 m/s        	     	Cloud group:  	     	           	9////      	        
Position:               	                       	                       	   	                   	                	           	             	     	              	     	           	           	        
Longitude:              	                       	-104.382 °             	   	                   	Latitude:       	           	41.915 °     	     	Altitude:     	     	           	1255 m     	        
Staff:                  	                       	                       	   	                   	                	           	             	     	              	     	           	           	        
Company:                	                       	                       	   	                   	                	           	             	     	              	     	           	           	        
Operator:               	                       	                       	   	                   	                	           	             	     	              	     	           	           	        
Events:                 	                       	                       	   	                   	                	           	             	     	              	     	           	           	        
Highest Point:          	                       	100.3 hPa              	   	                   	16570 m         	           	             	     	              	     	           	           	        
Tropopauses:            	                       	                       	   	                   	                	           	             	     	              	     	           	           	        
Max Winds:              	                       	1.: 183.3 hPa          	   	                   	                	           	             	     	              	     	           	           	        
Remarks:                	                       	                       	   	                   	                	           	             	     	              	     	           	           	        
                        	                       	                       	   	                   	                	           	             	     	              	     	           	           	        
Profile Data:           	                       	                       	   	                   	                	           	             	     	              	     	           	           	        
Time                    	P                      	T                      	Hu 	Ws                 	Wd              	Long.      	Lat.         	Alt  	Geopot        	Dewp.	Virt. Temp 	Rs         	D       
[sec]                   	[hPa]                  	[°C]                   	[%]	[m/s]              	[°]             	[°]        	[°]          	[m]  	[m]           	[°C] 	[°C]       	[m/s]      	[kg/m3] 
0                       	871.7                  	27.2                   	33 	6.0                	333             	-104.381770	41.915060    	1255 	1255          	9.5  	28.8       	0.0        	1.011248
2                       	870.6                  	27.0                   	33 	5.9                	334             	-104.381754	41.915010    	1266 	1266          	9.1  	28.5       	5.4        	1.010741
4                       	869.6                  	26.8                   	32 	5.9                	334             	-104.381738	41.914960    	1277 	1276          	8.7  	28.2       	5.4        	1.010236
6                       	868.6                  	26.6                   	32 	5.8                	335             	-104.381722	41.914910    	1287 	1287          	8.3  	28.0       	5.4        	1.009731
8                       	867.5                  	26.3                   	31 	5.7                	335             	-104.381707	41.914860    	1298 	1298          	8.0  	27.7       	5.4        	1.009362
10                      	866.5                  	26.1                   	31 	5.7                	336             	-104.381691	41.914810    	1309 	1308          	7.8  	27.4       	5.4        	1.009024
12                      	865.4                  	25.8                   	31 	5.6                	337             	-104.381675	41.914760    	1319 	1319          	7.6  	27.1       	5.4        	1.008688
14                      	864.4                  	25.5                   	31 	5.6                	337             	-104.381658	41.914709    	1330 	1330          	7.3  	26.9       	5.4        	1.008349
16                      	863.3                  	25.3                   	31 	5.5                	338             	-104.381598	41.914573    	1341 	1340          	7.1  	26.6       	5.4        	1.008012
18                      	862.3                  	25.0                   	31 	5.4                	339             	-104.381538	41.914438    	1352 	1351          	6.8  	26.3       	5.3        	1.007675
