Flight Information:     	                       	                       	                       	     	                	             	          	     	              	           	          	        
Launch Date:            	                       	Sunday, August 20, 2017	                       	     	Launch Time:    	             	5:45:08 PM	     	End of Ascent:	           	1:24:20 AM	        
Station name:           	                       	                       	                       	     	Number of sonde:	             	00627656  	     	              	           	          	        
Ground values:          	                       	                       	                       	     	                	             	          	     	              	           	          	        
Pressure:               	                       	862.9 hPa              	                       	     	Temperature:    	             	25.2 °C   	     	Humidity:     	           	33 %      	        
Wind Direction:         	                       	54 °                   	                       	     	Wind Speed:     	             	4 m/s     	     	Cloud group:  	           	9////     	        
Position:               	                       	                       	                       	     	                	             	          	     	              	           	          	        
Longitude:              	                       	-104.454 °             	                       	     	Latitude:       	             	42.277 °  	     	Altitude:     	           	1389 m    	        
Staff:                  	                       	                       	                       	     	                	             	          	     	              	           	          	        
Company:                	                       	                       	                       	     	                	             	          	     	              	           	          	        
Operator:               	                       	                       	                       	     	                	             	          	     	              	           	          	        
Events:                 	                       	                       	                       	     	                	             	          	     	              	           	          	        
Highest Point:          	                       	20.8 hPa               	                       	     	26681 m         	             	          	     	              	           	          	        
Tropopauses:            	                       	1.: 186.0 hPa          	                       	     	2.: 67.6 hPa    	             	          	     	              	           	          	        
Max Winds:              	                       	1.: 152.7 hPa          	                       	     	                	             	          	     	              	           	          	        
Remarks:                	                       	                       	                       	     	                	             	          	     	              	           	          	        
                        	                       	                       	                       	     	                	             	          	     	              	           	          	        
Profile Data:           	                       	                       	                       	     	                	             	          	     	              	           	          	        
Time                    	P                      	T                      	Hu                     	Ws   	Wd              	Long.        	Lat.      	Alt  	Dewp.         	Virt. Temp 	Rs        	D       
[sec]                   	[hPa]                  	[°C]                   	[%]                    	[m/s]	[°]             	[°]          	[°]       	[m]  	[°C]          	[°C]       	[m/s]     	[kg/m3] 
0                       	862.9                  	25.2                   	33                     	4.1  	054             	-104.453810  	42.277010 	1389 	7.8           	26.6       	0.0       	1.007749
1                       	862.3                  	25.1                   	34                     	4.2  	056             	-104.453890  	42.277014 	1396 	7.9           	26.5       	6.6       	1.007487
2                       	861.6                  	24.9                   	34                     	4.3  	058             	-104.453971  	42.277018 	1402 	8.1           	26.3       	6.6       	1.007225
3                       	861.0                  	24.8                   	35                     	4.4  	059             	-104.454051  	42.277023 	1409 	8.2           	26.2       	6.6       	1.006964
4                       	860.3                  	24.6                   	35                     	4.5  	061             	-104.454132  	42.277027 	1415 	8.3           	26.1       	6.6       	1.006702
5                       	859.7                  	24.5                   	36                     	4.6  	063             	-104.454212  	42.277031 	1422 	8.5           	25.9       	6.6       	1.006441
6                       	859.1                  	24.3                   	37                     	4.7  	064             	-104.454293  	42.277035 	1428 	8.6           	25.8       	6.6       	1.006181
7                       	858.4                  	24.2                   	37                     	4.7  	066             	-104.454373  	42.277040 	1435 	8.7           	25.7       	6.6       	1.005918
8                       	857.8                  	24.0                   	37                     	4.8  	067             	-104.454453  	42.277044 	1442 	8.7           	25.5       	6.6       	1.005656
9                       	857.1                  	23.9                   	38                     	4.9  	069             	-104.454534  	42.277048 	1448 	8.6           	25.4       	6.6       	1.005394
10                      	856.5                  	23.8                   	38                     	5.0  	070             	-104.454614  	42.277052 	1455 	8.6           	25.2       	6.6       	1.005133
11                      	855.9                  	23.6                   	38                     	5.1  	071             	-104.454695  	42.277057 	1461 	8.6           	25.1       	6.6       	1.004871
12                      	855.2                  	23.5                   	39                     	5.2  	073             	-104.454775  	42.277061 	1468 	8.6           	24.9       	6.6       	1.004610
13                      	854.6                  	23.3                   	39                     	5.3  	074             	-104.454856  	42.277065 	1474 	8.6           	24.8       	6.6       	1.004342
14                      	853.9                  	23.2                   	39                     	5.4  	075             	-104.454936  	42.277069 	1481 	8.6           	24.6       	6.6       	1.004074
15                      	853.3                  	23.0                   	39                     	5.5  	076             	-104.455016  	42.277073 	1488 	8.5           	24.5       	6.6       	1.003807
16                      	852.7                  	22.9                   	40                     	5.6  	077             	-104.455085  	42.277079 	1494 	8.5           	24.4       	6.6       	1.003539
17                      	852.0                  	22.8                   	40                     	5.7  	078             	-104.455150  	42.277085 	1501 	8.5           	24.2       	6.6       	1.003272
18                      	851.4                  	22.6                   	40                     	5.8  	079             	-104.455214  	42.277092 	1507 	8.5           	24.1       	6.6       	1.003006
19                      	850.7                  	22.5                   	41                     	5.9  	080             	-104.455279  	42.277098 	1514 	8.5           	23.9       	6.6       	1.002735
20                      	850.1                  	22.3                   	41                     	5.9  	081             	-104.455343  	42.277104 	1520 	8.4           	23.8       	6.6       	1.002465
21                      	849.4                  	22.2                   	41                     	6.0  	082             	-104.455408  	42.277111 	1527 	8.4           	23.6       	6.6       	1.002196
22                      	848.8                  	22.0                   	41                     	6.1  	083             	-104.455472  	42.277117 	1534 	8.3           	23.5       	6.6       	1.001926
23                      	848.2                  	21.9                   	42                     	6.2  	084             	-104.455537  	42.277123 	1540 	8.3           	23.3       	6.6       	1.001657
24                      	847.5                  	21.7                   	42                     	6.3  	085             	-104.455601  	42.277129 	1547 	8.2           	23.2       	6.6       	1.001388
25                      	846.9                  	21.6                   	42                     	6.4  	085             	-104.455666  	42.277136 	1553 	8.2           	23.0       	6.6       	1.001118
26                      	846.2                  	21.5                   	42                     	6.5  	086             	-104.455730  	42.277142 	1560 	8.1           	22.9       	6.6       	1.000847
27                      	845.6                  	21.3                   	43                     	6.6  	087             	-104.455795  	42.277148 	1566 	8.1           	22.7       	6.6       	1.000577
28                      	845.0                  	21.2                   	43                     	6.6  	088             	-104.455859  	42.277155 	1573 	8.0           	22.6       	6.6       	1.000307
29                      	844.3                  	21.0                   	43                     	6.8  	088             	-104.455924  	42.277161 	1580 	8.0           	22.4       	6.6       	1.000038
30                      	843.7                  	20.9                   	43                     	6.9  	089             	-104.455988  	42.277167 	1586 	7.9           	22.3       	6.6       	0.999769
31                      	843.0                  	20.7                   	43                     	6.8  	090             	-104.456053  	42.277173 	1593 	7.9           	22.1       	6.6       	0.999497
32                      	842.4                  	20.6                   	44                     	6.7  	090             	-104.456117  	42.277180 	1599 	7.8           	22.0       	6.6       	0.999227
33                      	841.8                  	20.4                   	44                     	6.6  	091             	-104.456182  	42.277186 	1606 	7.8           	21.8       	6.6       	0.998956
34                      	841.1                  	20.3                   	44                     	6.5  	091             	-104.456246  	42.277192 	1613 	7.7           	21.7       	6.6       	0.998686
35                      	840.5                  	20.2                   	44                     	6.4  	092             	-104.456311  	42.277199 	1619 	7.7           	21.5       	6.6       	0.998416
36                      	839.8                  	20.0                   	45                     	6.4  	092             	-104.456375  	42.277205 	1626 	7.6           	21.4       	6.6       	0.998146
37                      	839.2                  	19.9                   	45                     	6.3  	093             	-104.456440  	42.277211 	1632 	7.6           	21.3       	6.6       	0.997750
38                      	838.6                  	19.8                   	45                     	6.2  	094             	-104.456504  	42.277217 	1639 	7.6           	21.2       	6.6       	0.997221
39                      	837.9                  	19.8                   	45                     	6.1  	094             	-104.456569  	42.277224 	1645 	7.6           	21.2       	6.6       	0.996693
40                      	837.3                  	19.7                   	46                     	6.0  	095             	-104.456633  	42.277230 	1652 	7.7           	21.1       	6.6       	0.996165
41                      	836.6                  	19.6                   	46                     	6.0  	096             	-104.456698  	42.277236 	1659 	7.7           	21.0       	6.6       	0.995637
42                      	836.0                  	19.6                   	46                     	5.9  	097             	-104.456762  	42.277243 	1665 	7.7           	21.0       	6.6       	0.995109
43                      	835.4                  	19.5                   	46                     	5.8  	097             	-104.456827  	42.277249 	1672 	7.7           	20.9       	6.6       	0.994617
