Flight Information:     	                        	                       	                   	     	                	             	           	     	              	           	          	        
Launch Date:            	                        	Sunday, August 20, 2017	                   	     	Launch Time:    	             	11:49:08 PM	     	End of Ascent:	           	1:10:29 AM	        
Station name:           	                        	                       	                   	     	Number of sonde:	             	00627841   	     	              	           	          	        
Ground values:          	                        	                       	                   	     	                	             	           	     	              	           	          	        
Pressure:               	                        	859.8 hPa              	                   	     	Temperature:    	             	28.8 °C    	     	Humidity:     	           	34 %      	        
Wind Direction:         	                        	125 °                  	                   	     	Wind Speed:     	             	8 m/s      	     	Cloud group:  	           	9////     	        
Position:               	                        	                       	                   	     	                	             	           	     	              	           	          	        
Longitude:              	                        	-104.454 °             	                   	     	Latitude:       	             	42.277 °   	     	Altitude:     	           	1389 m    	        
Staff:                  	                        	                       	                   	     	                	             	           	     	              	           	          	        
Company:                	                        	                       	                   	     	                	             	           	     	              	           	          	        
Operator:               	                        	                       	                   	     	                	             	           	     	              	           	          	        
Events:                 	                        	                       	                   	     	                	             	           	     	              	           	          	        
Highest Point:          	                        	22.3 hPa               	                   	     	26181 m         	             	           	     	              	           	          	        
Tropopauses:            	                        	1.: 121.2 hPa          	                   	     	                	             	           	     	              	           	          	        
Max Winds:              	                        	1.: 181.9 hPa          	                   	     	                	             	           	     	              	           	          	        
Remarks:                	                        	                       	                   	     	                	             	           	     	              	           	          	        
                        	                        	                       	                   	     	                	             	           	     	              	           	          	        
Profile Data:           	                        	                       	                   	     	                	             	           	     	              	           	          	        
Time                    	P                       	T                      	Hu                 	Ws   	Wd              	Long.        	Lat.       	Alt  	Dewp.         	Virt. Temp 	Rs        	D       
[sec]                   	[hPa]                   	[°C]                   	[%]                	[m/s]	[°]             	[°]          	[°]        	[m]  	[°C]          	[°C]       	[m/s]     	[kg/m3] 
0                       	859.8                   	28.8                   	34                 	7.5  	125             	-104.453800  	42.277010  	1389 	11.4          	30.6       	0.0       	0.992157
1                       	859.3                   	28.5                   	34                 	7.6  	127             	-104.453829  	42.277090  	1395 	11.1          	30.3       	5.5       	0.992376
2                       	858.7                   	28.3                   	34                 	7.7  	128             	-104.453858  	42.277171  	1400 	10.8          	30.0       	5.5       	0.992596
3                       	858.2                   	28.0                   	34                 	7.7  	130             	-104.453887  	42.277251  	1406 	10.6          	29.7       	5.5       	0.992816
4                       	857.7                   	27.8                   	34                 	7.8  	132             	-104.453916  	42.277332  	1411 	10.3          	29.5       	5.5       	0.993037
5                       	857.2                   	27.5                   	33                 	7.9  	133             	-104.453945  	42.277412  	1417 	10.0          	29.2       	5.5       	0.993259
6                       	856.6                   	27.3                   	33                 	8.0  	135             	-104.453974  	42.277493  	1422 	9.8           	28.9       	5.5       	0.993482
7                       	856.1                   	27.1                   	33                 	8.1  	136             	-104.454004  	42.277573  	1428 	9.6           	28.7       	5.5       	0.993382
8                       	855.6                   	27.1                   	33                 	8.2  	138             	-104.454033  	42.277654  	1433 	9.6           	28.6       	5.5       	0.993032
9                       	855.0                   	27.0                   	34                 	8.2  	140             	-104.454062  	42.277734  	1439 	9.6           	28.6       	5.5       	0.992682
10                      	854.5                   	26.9                   	34                 	8.3  	141             	-104.454091  	42.277814  	1444 	9.6           	28.5       	5.5       	0.992333
11                      	854.0                   	26.8                   	34                 	8.4  	143             	-104.454120  	42.277895  	1450 	9.6           	28.4       	5.5       	0.991983
12                      	853.5                   	26.7                   	34                 	8.5  	144             	-104.454149  	42.277975  	1455 	9.6           	28.3       	5.5       	0.991634
13                      	852.9                   	26.7                   	34                 	8.6  	146             	-104.454178  	42.278056  	1461 	9.6           	28.2       	5.5       	0.991232
14                      	852.3                   	26.6                   	34                 	8.6  	147             	-104.454207  	42.278136  	1466 	9.6           	28.2       	5.5       	0.990830
15                      	851.7                   	26.5                   	34                 	8.7  	148             	-104.454236  	42.278217  	1472 	9.6           	28.1       	5.6       	0.990428
