Flight Information:     	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Launch Date:            	                       	Monday, August 21, 2017	   	                        	Launch Time:    	           	11:46:04 AM 	     	End of Ascent:	     	           	1:16:46 AM	        
Station name:           	                       	                       	   	                        	Number of sonde:	           	00627807    	     	              	     	           	          	        
Ground values:          	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Pressure:               	                       	861.3 hPa              	   	                        	Temperature:    	           	15.2 °C     	     	Humidity:     	     	           	94 %      	        
Wind Direction:         	                       	25 °                   	   	                        	Wind Speed:     	           	1 m/s       	     	Cloud group:  	     	           	9////     	        
Position:               	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Longitude:              	                       	-104.454 °             	   	                        	Latitude:       	           	42.277 °    	     	Altitude:     	     	           	1389 m    	        
Staff:                  	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Company:                	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Operator:               	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Events:                 	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Highest Point:          	                       	26.4 hPa               	   	                        	25106 m         	           	            	     	              	     	           	          	        
Tropopauses:            	                       	1.: 200.1 hPa          	   	                        	2.: 114.2 hPa   	           	            	     	              	     	           	          	        
Max Winds:              	                       	1.: 154.8 hPa          	   	                        	                	           	            	     	              	     	           	          	        
Remarks:                	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
                        	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Profile Data:           	                       	                       	   	                        	                	           	            	     	              	     	           	          	        
Time                    	P                      	T                      	Hu 	Ws                      	Wd              	Long.      	Lat.        	Alt  	Geopot        	Dewp.	Virt. Temp 	Rs        	D       
[sec]                   	[hPa]                  	[°C]                   	[%]	[m/s]                   	[°]             	[°]        	[°]         	[m]  	[m]           	[°C] 	[°C]       	[m/s]     	[kg/m3] 
0                       	861.3                  	15.2                   	94 	0.7                     	025             	-104.453800	42.277000   	1389 	1389          	14.2 	17.3       	0.0       	1.040765
1                       	860.7                  	15.9                   	91 	0.9                     	009             	-104.453751	42.276969   	1395 	1395          	14.5 	18.0       	6.0       	1.037634
2                       	860.1                  	16.5                   	89 	1.1                     	356             	-104.453703	42.276939   	1401 	1401          	14.7 	18.7       	6.0       	1.034518
3                       	859.5                  	17.2                   	86 	1.3                     	346             	-104.453654	42.276908   	1407 	1407          	14.9 	19.4       	6.0       	1.031417
4                       	858.9                  	17.9                   	83 	1.5                     	339             	-104.453605	42.276877   	1413 	1413          	15.0 	20.1       	6.0       	1.028330
5                       	858.3                  	18.5                   	81 	1.6                     	334             	-104.453557	42.276847   	1419 	1419          	15.2 	20.8       	6.0       	1.025258
6                       	857.7                  	19.2                   	78 	1.8                     	329             	-104.453508	42.276816   	1425 	1425          	15.3 	21.5       	6.0       	1.022201
7                       	857.1                  	19.5                   	75 	2.0                     	326             	-104.453459	42.276785   	1431 	1431          	15.0 	21.7       	6.0       	1.020628
