Flight Information:     	                       	                       	   	                   	                	           	             	    	              	     	           	           	        
Launch Date:            	                       	Monday, August 21, 2017	   	                   	Launch Time:    	           	5:06:05 PM   	    	End of Ascent:	     	           	12:17:48 AM	        
Station name:           	                       	                       	   	                   	Number of sonde:	           	00627858     	    	              	     	           	           	        
Ground values:          	                       	                       	   	                   	                	           	             	    	              	     	           	           	        
Pressure:               	                       	864.0 hPa              	   	                   	Temperature:    	           	26.0 °C      	    	Humidity:     	     	           	27 %       	        
Wind Direction:         	                       	0 °                    	   	                   	Wind Speed:     	           	7 m/s        	    	Cloud group:  	     	           	9////      	        
Position:               	                       	                       	   	                   	                	           	             	    	              	     	           	           	        
Longitude:              	                       	-104.454 °             	   	                   	Latitude:       	           	42.277 °     	    	Altitude:     	     	           	1389 m     	        
Staff:                  	                       	                       	   	                   	                	           	             	    	              	     	           	           	        
Company:                	                       	                       	   	                   	                	           	             	    	              	     	           	           	        
Operator:               	                       	                       	   	                   	                	           	             	    	              	     	           	           	        
Events:                 	                       	                       	   	                   	                	           	             	    	              	     	           	           	        
Highest Point:          	                       	426.4 hPa              	   	                   	7083 m          	           	             	    	              	     	           	           	        
Tropopauses:            	                       	                       	   	                   	                	           	             	    	              	     	           	           	        
Max Winds:              	                       	                       	   	                   	                	           	             	    	              	     	           	           	        
Remarks:                	                       	                       	   	                   	                	           	             	    	              	     	           	           	        
                        	                       	                       	   	                   	                	           	             	    	              	     	           	           	        
Profile Data:           	                       	                       	   	                   	                	           	             	    	              	     	           	           	        
Time                    	P                      	T                      	Hu 	Ws                 	Wd              	Long.      	Lat.         	Alt 	Geopot        	Dewp.	Virt. Temp 	Rs         	D       
[sec]                   	[hPa]                  	[°C]                   	[%]	[m/s]              	[°]             	[°]        	[°]          	[m] 	[m]           	[°C] 	[°C]       	[m/s]      	[kg/m3] 
0                       	864.0                  	26.0                   	27 	7.4                	000             	-104.453800	42.277000    	1389	1389          	5.6  	27.2       	0.0        	1.006336
1                       	863.4                  	25.7                   	27 	7.4                	360             	-104.453801	42.276927    	1396	1395          	5.5  	26.9       	6.5        	1.006582
2                       	862.7                  	25.4                   	28 	7.5                	360             	-104.453803	42.276854    	1402	1402          	5.4  	26.6       	6.5        	1.006830
3                       	862.1                  	25.1                   	28 	7.5                	360             	-104.453804	42.276780    	1409	1408          	5.3  	26.3       	6.5        	1.007079
4                       	861.5                  	24.8                   	28 	7.6                	360             	-104.453805	42.276707    	1415	1415          	5.2  	26.0       	6.5        	1.007329
5                       	860.8                  	24.5                   	29 	7.6                	360             	-104.453807	42.276634    	1421	1421          	5.1  	25.7       	6.5        	1.007580
6                       	860.2                  	24.2                   	29 	7.6                	360             	-104.453808	42.276561    	1428	1428          	5.1  	25.4       	6.5        	1.007832
7                       	859.6                  	24.1                   	29 	7.7                	001             	-104.453810	42.276487    	1434	1434          	5.1  	25.2       	6.5        	1.007665
8                       	858.9                  	24.0                   	29 	7.7                	001             	-104.453811	42.276414    	1441	1441          	4.9  	25.1       	6.5        	1.007195
9                       	858.3                  	23.9                   	29 	7.8                	001             	-104.453812	42.276341    	1447	1447          	4.8  	25.0       	6.5        	1.006726
10                      	857.7                  	23.8                   	29 	7.8                	001             	-104.453814	42.276268    	1454	1453          	4.7  	24.9       	6.5        	1.006257
11                      	857.0                  	23.7                   	29 	7.8                	001             	-104.453815	42.276195    	1460	1460          	4.6  	24.9       	6.5        	1.005788
12                      	856.4                  	23.7                   	29 	7.9                	001             	-104.453816	42.276121    	1467	1466          	4.4  	24.8       	6.5        	1.005319
13                      	855.8                  	23.6                   	29 	7.9                	001             	-104.453818	42.276048    	1473	1473          	4.3  	24.7       	6.5        	1.004849
14                      	855.1                  	23.5                   	28 	8.0                	001             	-104.453819	42.275975    	1480	1479          	4.2  	24.6       	6.5        	1.004380
15                      	854.5                  	23.4                   	28 	8.0                	001             	-104.453823	42.275896    	1486	1486          	4.1  	24.5       	6.5        	1.003910
16                      	853.9                  	23.3                   	28 	8.0                	001             	-104.453830	42.275812    	1493	1492          	4.0  	24.4       	6.5        	1.003441
17                      	853.2                  	23.3                   	28 	8.1                	001             	-104.453836	42.275727    	1499	1499          	3.8  	24.3       	6.5        	1.002973
18                      	852.6                  	23.2                   	28 	8.1                	001             	-104.453842	42.275643    	1506	1505          	3.7  	24.2       	6.5        	1.002504
19                      	852.1                  	23.1                   	28 	8.2                	001             	-104.453849	42.275559    	1512	1511          	3.6  	24.1       	6.5        	1.002151
20                      	851.5                  	23.0                   	28 	8.2                	001             	-104.453855	42.275474    	1518	1517          	3.5  	24.1       	5.6        	1.001789
21                      	851.0                  	23.0                   	28 	8.2                	001             	-104.453862	42.275390    	1523	1522          	3.4  	24.0       	5.2        	1.001334
22                      	850.5                  	22.9                   	28 	8.3                	002             	-104.453868	42.275306    	1528	1527          	3.4  	23.9       	5.2        	1.000879
23                      	850.0                  	22.9                   	28 	8.3                	002             	-104.453875	42.275221    	1533	1532          	3.3  	23.9       	5.2        	1.000424
24                      	849.4                  	22.8                   	28 	8.4                	002             	-104.453881	42.275137    	1538	1538          	3.3  	23.8       	5.2        	0.999970
