Flight Information:     	                       	                       	   	                   	                	           	             	     	              	     	           	           	        
Launch Date:            	                       	Monday, August 21, 2017	   	                   	Launch Time:    	           	4:18:57 PM   	     	End of Ascent:	     	           	12:29:40 AM	        
Station name:           	                       	                       	   	                   	Number of sonde:	           	00608573     	     	              	     	           	           	        
Ground values:          	                       	                       	   	                   	                	           	             	     	              	     	           	           	        
Pressure:               	                       	886.9 hPa              	   	                   	Temperature:    	           	21.5 °C      	     	Humidity:     	     	           	53 %       	        
Wind Direction:         	                       	320 °                  	   	                   	Wind Speed:     	           	5 m/s        	     	Cloud group:  	     	           	9////      	        
Position:               	                       	                       	   	                   	                	           	             	     	              	     	           	           	        
Longitude:              	                       	-104.456 °             	   	                   	Latitude:       	           	42.752 °     	     	Altitude:     	     	           	1535 m     	        
Staff:                  	                       	                       	   	                   	                	           	             	     	              	     	           	           	        
Company:                	                       	                       	   	                   	                	           	             	     	              	     	           	           	        
Operator:               	                       	                       	   	                   	                	           	             	     	              	     	           	           	        
Events:                 	                       	                       	   	                   	                	           	             	     	              	     	           	           	        
Highest Point:          	                       	240.0 hPa              	   	                   	11395 m         	           	             	     	              	     	           	           	        
Tropopauses:            	                       	                       	   	                   	                	           	             	     	              	     	           	           	        
Max Winds:              	                       	                       	   	                   	                	           	             	     	              	     	           	           	        
Remarks:                	                       	                       	   	                   	                	           	             	     	              	     	           	           	        
                        	                       	                       	   	                   	                	           	             	     	              	     	           	           	        
Profile Data:           	                       	                       	   	                   	                	           	             	     	              	     	           	           	        
Time                    	P                      	T                      	Hu 	Ws                 	Wd              	Long.      	Lat.         	Alt  	Geopot        	Dewp.	Virt. Temp 	Rs         	D       
[sec]                   	[hPa]                  	[°C]                   	[%]	[m/s]              	[°]             	[°]        	[°]          	[m]  	[m]           	[°C] 	[°C]       	[m/s]      	[kg/m3] 
0                       	886.9                  	21.5                   	53 	5.1                	320             	-104.456110	42.751640    	1535 	1535          	11.5 	23.2       	0.0        	1.048785
2                       	885.7                  	21.6                   	50 	5.4                	324             	-104.456082	42.751474    	1547 	1547          	10.9 	23.2       	5.9        	1.047042
4                       	884.5                  	21.7                   	48 	5.8                	327             	-104.456054	42.751308    	1559 	1559          	10.1 	23.2       	5.9        	1.045302
6                       	883.3                  	21.8                   	45 	6.1                	331             	-104.456027	42.751142    	1571 	1570          	9.4  	23.3       	5.9        	1.043565
8                       	882.1                  	21.6                   	43 	6.4                	334             	-104.455999	42.750976    	1583 	1582          	8.4  	23.0       	5.9        	1.042736
10                      	880.9                  	21.4                   	42 	6.8                	336             	-104.455971	42.750810    	1594 	1594          	7.8  	22.7       	5.9        	1.042139
12                      	879.7                  	21.1                   	41 	7.1                	339             	-104.455943	42.750644    	1606 	1606          	7.4  	22.4       	5.9        	1.041543
14                      	878.5                  	20.9                   	40 	7.5                	341             	-104.455915	42.750478    	1618 	1618          	6.9  	22.2       	5.9        	1.040965
16                      	877.3                  	20.7                   	39 	7.8                	343             	-104.455887	42.750305    	1630 	1629          	6.4  	21.9       	5.9        	1.040388
18                      	876.2                  	20.4                   	39 	8.1                	345             	-104.455856	42.750107    	1641 	1641          	6.0  	21.6       	5.7        	1.039812
20                      	875.2                  	20.2                   	38 	8.5                	346             	-104.455825	42.749909    	1650 	1650          	5.6  	21.4       	4.5        	1.039555
22                      	874.3                  	20.1                   	38 	8.8                	348             	-104.455794	42.749711    	1659 	1659          	5.5  	21.3       	4.5        	1.038766
24                      	873.4                  	20.0                   	38 	9.1                	349             	-104.455763	42.749513    	1668 	1668          	5.4  	21.2       	4.5        	1.037963
26                      	872.5                  	20.0                   	38 	9.5                	350             	-104.455731	42.749315    	1677 	1676          	5.3  	21.1       	4.5        	1.037159
28                      	871.6                  	19.9                   	38 	9.8                	352             	-104.455700	42.749117    	1686 	1685          	5.2  	21.0       	4.5        	1.036356
30                      	870.7                  	19.8                   	38 	10.1               	353             	-104.455669	42.748919    	1695 	1694          	5.1  	20.9       	4.5        	1.035553
32                      	869.8                  	19.7                   	38 	10.3               	353             	-104.455638	42.748720    	1704 	1703          	5.0  	20.9       	4.5        	1.034751
34                      	868.9                  	19.7                   	38 	10.4               	353             	-104.455607	42.748522    	1713 	1712          	4.9  	20.8       	4.5        	1.033916
36                      	868.0                  	19.6                   	38 	10.5               	353             	-104.455576	42.748324    	1722 	1721          	4.9  	20.7       	4.5        	1.033038
38                      	867.1                  	19.6                   	38 	10.6               	353             	-104.455545	42.748126    	1731 	1730          	4.8  	20.7       	4.5        	1.032161
40                      	866.2                  	19.5                   	38 	10.7               	353             	-104.455514	42.747928    	1740 	1739          	4.7  	20.6       	4.5        	1.031284
42                      	865.3                  	19.4                   	38 	10.8               	353             	-104.455483	42.747730    	1749 	1748          	4.6  	20.5       	4.5        	1.030408
44                      	864.4                  	19.4                   	37 	10.9               	353             	-104.455452	42.747532    	1758 	1757          	4.5  	20.5       	4.5        	1.029541
46                      	863.5                  	19.3                   	37 	11.0               	353             	-104.455421	42.747333    	1767 	1766          	4.5  	20.4       	4.5        	1.028675
48                      	862.6                  	19.3                   	38 	11.1               	354             	-104.455395	42.747123    	1776 	1775          	4.5  	20.3       	4.4        	1.027859
50                      	861.8                  	19.2                   	38 	11.3               	354             	-104.455377	42.746900    	1784 	1783          	4.5  	20.3       	4.2        	1.027110
52                      	860.9                  	19.1                   	38 	11.4               	354             	-104.455358	42.746677    	1793 	1792          	4.5  	20.2       	4.2        	1.026363
54                      	860.1                  	19.0                   	38 	11.5               	354             	-104.455340	42.746454    	1801 	1800          	4.5  	20.1       	4.2        	1.025616
56                      	859.2                  	19.0                   	39 	11.6               	354             	-104.455321	42.746231    	1810 	1809          	4.6  	20.0       	4.2        	1.024868
58                      	858.4                  	18.9                   	39 	11.7               	354             	-104.455302	42.746008    	1818 	1817          	4.6  	20.0       	4.2        	1.024122
60                      	857.5                  	18.8                   	39 	11.8               	354             	-104.455284	42.745784    	1827 	1826          	4.6  	19.9       	4.2        	1.023376
62                      	856.7                  	18.7                   	39 	11.9               	354             	-104.455265	42.745561    	1835 	1834          	4.6  	19.8       	4.2        	1.022648
64                      	855.8                  	18.6                   	39 	12.0               	355             	-104.455246	42.745338    	1844 	1843          	4.6  	19.7       	4.2        	1.021921
66                      	855.0                  	18.6                   	39 	12.0               	355             	-104.455228	42.745115    	1852 	1851          	4.5  	19.7       	4.2        	1.021195
68                      	854.1                  	18.5                   	40 	12.1               	355             	-104.455209	42.744892    	1861 	1860          	4.5  	19.6       	4.2        	1.020468
70                      	853.3                  	18.4                   	40 	12.2               	355             	-104.455190	42.744669    	1869 	1868          	4.5  	19.5       	4.2        	1.019742
72                      	852.4                  	18.3                   	40 	12.2               	355             	-104.455172	42.744445    	1878 	1877          	4.5  	19.4       	4.2        	1.019017
74                      	851.6                  	18.2                   	40 	12.3               	356             	-104.455153	42.744222    	1886 	1885          	4.4  	19.3       	4.2        	1.018273
76                      	850.7                  	18.2                   	40 	12.4               	356             	-104.455134	42.743999    	1895 	1894          	4.4  	19.3       	4.2        	1.017498
78                      	849.9                  	18.1                   	40 	12.4               	356             	-104.455114	42.743764    	1903 	1902          	4.3  	19.2       	4.3        	1.016723
