Flight Information:     	                       	                       	   	                   	                	           	             	    	              	     	           	           	        
Launch Date:            	                       	Monday, August 21, 2017	   	                   	Launch Time:    	           	5:06:01 PM   	    	End of Ascent:	     	           	12:17:30 AM	        
Station name:           	                       	                       	   	                   	Number of sonde:	           	00608463     	    	              	     	           	           	        
Ground values:          	                       	                       	   	                   	                	           	             	    	              	     	           	           	        
Pressure:               	                       	887.7 hPa              	   	                   	Temperature:    	           	23.2 °C      	    	Humidity:     	     	           	34 %       	        
Wind Direction:         	                       	350 °                  	   	                   	Wind Speed:     	           	5 m/s        	    	Cloud group:  	     	           	9////      	        
Position:               	                       	                       	   	                   	                	           	             	    	              	     	           	           	        
Longitude:              	                       	-104.456 °             	   	                   	Latitude:       	           	42.752 °     	    	Altitude:     	     	           	1536 m     	        
Staff:                  	                       	                       	   	                   	                	           	             	    	              	     	           	           	        
Company:                	                       	                       	   	                   	                	           	             	    	              	     	           	           	        
Operator:               	                       	                       	   	                   	                	           	             	    	              	     	           	           	        
Events:                 	                       	                       	   	                   	                	           	             	    	              	     	           	           	        
Highest Point:          	                       	418.0 hPa              	   	                   	7561 m          	           	             	    	              	     	           	           	        
Tropopauses:            	                       	                       	   	                   	                	           	             	    	              	     	           	           	        
Max Winds:              	                       	                       	   	                   	                	           	             	    	              	     	           	           	        
Remarks:                	                       	                       	   	                   	                	           	             	    	              	     	           	           	        
                        	                       	                       	   	                   	                	           	             	    	              	     	           	           	        
Profile Data:           	                       	                       	   	                   	                	           	             	    	              	     	           	           	        
Time                    	P                      	T                      	Hu 	Ws                 	Wd              	Long.      	Lat.         	Alt 	Geopot        	Dewp.	Virt. Temp 	Rs         	D       
[sec]                   	[hPa]                  	[°C]                   	[%]	[m/s]              	[°]             	[°]        	[°]          	[m] 	[m]           	[°C] 	[°C]       	[m/s]      	[kg/m3] 
0                       	887.7                  	23.2                   	34 	5.0                	350             	-104.456100	42.751600    	1536	1536          	6.5  	24.4       	0.0        	1.043709
2                       	886.6                  	22.7                   	34 	5.4                	351             	-104.456085	42.751411    	1546	1546          	6.1  	23.9       	5.2        	1.044218
4                       	885.6                  	22.2                   	34 	5.7                	352             	-104.456070	42.751222    	1557	1557          	5.6  	23.4       	5.2        	1.044729
6                       	884.5                  	21.7                   	34 	6.1                	352             	-104.456054	42.751034    	1567	1567          	5.2  	22.8       	5.2        	1.045244
8                       	883.5                  	21.5                   	34 	6.5                	353             	-104.456039	42.750845    	1578	1577          	5.0  	22.6       	5.2        	1.044727
10                      	882.4                  	21.4                   	34 	6.8                	353             	-104.456024	42.750656    	1588	1588          	5.0  	22.5       	5.2        	1.043800
12                      	881.4                  	21.3                   	34 	7.2                	354             	-104.456009	42.750467    	1599	1598          	4.9  	22.4       	5.2        	1.042874
14                      	880.3                  	21.2                   	34 	7.6                	354             	-104.455993	42.750278    	1609	1608          	4.9  	22.3       	5.2        	1.041969
16                      	879.3                  	21.1                   	34 	8.0                	355             	-104.455978	42.750090    	1620	1619          	4.8  	22.2       	5.2        	1.041065
18                      	878.3                  	21.1                   	34 	8.3                	355             	-104.455953	42.749905    	1629	1629          	4.8  	22.1       	4.9        	1.040161
20                      	877.3                  	21.0                   	35 	8.7                	355             	-104.455924	42.749722    	1639	1638          	4.8  	22.0       	4.8        	1.039324
22                      	876.3                  	20.9                   	35 	9.1                	356             	-104.455895	42.749539    	1649	1648          	4.7  	22.0       	4.8        	1.038473
24                      	875.3                  	20.8                   	35 	9.5                	356             	-104.455865	42.749356    	1658	1657          	4.7  	21.9       	4.8        	1.037624
26                      	874.4                  	20.7                   	35 	9.8                	356             	-104.455836	42.749174    	1668	1667          	4.7  	21.8       	4.8        	1.036774
28                      	873.4                  	20.6                   	35 	10.2               	356             	-104.455807	42.748991    	1677	1677          	4.7  	21.7       	4.8        	1.035924
30                      	872.4                  	20.5                   	35 	10.6               	357             	-104.455778	42.748808    	1687	1686          	4.6  	21.6       	4.8        	1.035076
32                      	871.5                  	20.4                   	35 	10.6               	356             	-104.455749	42.748625    	1697	1696          	4.6  	21.5       	4.8        	1.034227
34                      	870.5                  	20.4                   	35 	10.5               	356             	-104.455720	42.748442    	1706	1705          	4.6  	21.4       	4.8        	1.033399
36                      	869.5                  	20.3                   	35 	10.5               	355             	-104.455690	42.748260    	1716	1715          	4.5  	21.3       	4.8        	1.032580
38                      	868.6                  	20.2                   	35 	10.5               	355             	-104.455661	42.748077    	1725	1725          	4.5  	21.2       	4.8        	1.031760
40                      	867.6                  	20.1                   	36 	10.5               	354             	-104.455632	42.747894    	1735	1734          	4.4  	21.1       	4.8        	1.030941
42                      	866.6                  	20.0                   	36 	10.4               	354             	-104.455603	42.747711    	1745	1744          	4.3  	21.0       	4.8        	1.030123
44                      	865.6                  	19.9                   	36 	10.4               	353             	-104.455574	42.747528    	1754	1753          	4.3  	20.9       	4.8        	1.029281
46                      	864.7                  	19.8                   	36 	10.4               	352             	-104.455531	42.747349    	1764	1763          	4.2  	20.9       	4.9        	1.028439
48                      	863.7                  	19.7                   	36 	10.4               	352             	-104.455467	42.747175    	1774	1773          	4.1  	20.8       	5.0        	1.027565
50                      	862.7                  	19.6                   	36 	10.4               	351             	-104.455403	42.747000    	1784	1783          	4.1  	20.7       	5.0        	1.026664
52                      	861.7                  	19.5                   	36 	10.4               	351             	-104.455339	42.746826    	1794	1793          	4.0  	20.6       	5.0        	1.025764
54                      	860.7                  	19.5                   	36 	10.3               	350             	-104.455275	42.746652    	1804	1803          	3.9  	20.5       	5.0        	1.024866
56                      	859.7                  	19.4                   	36 	10.3               	350             	-104.455211	42.746477    	1814	1813          	3.8  	20.4       	5.0        	1.023966
58                      	858.7                  	19.3                   	36 	10.3               	349             	-104.455147	42.746303    	1824	1823          	3.8  	20.3       	5.0        	1.023068
60                      	857.7                  	19.2                   	36 	10.3               	349             	-104.455083	42.746129    	1834	1833          	3.7  	20.2       	5.0        	1.022201
62                      	856.7                  	19.1                   	36 	10.3               	348             	-104.455019	42.745955    	1844	1843          	3.6  	20.1       	5.0        	1.021373
64                      	855.7                  	19.0                   	36 	10.3               	348             	-104.454955	42.745780    	1854	1853          	3.6  	20.0       	5.0        	1.020545
66                      	854.7                  	18.9                   	36 	10.3               	348             	-104.454891	42.745606    	1864	1863          	3.6  	19.9       	5.0        	1.019718
68                      	853.7                  	18.8                   	36 	10.3               	347             	-104.454827	42.745432    	1874	1873          	3.5  	19.8       	5.0        	1.018890
70                      	852.7                  	18.7                   	36 	10.3               	347             	-104.454763	42.745258    	1884	1883          	3.5  	19.7       	5.0        	1.018064
72                      	851.7                  	18.6                   	37 	10.3               	347             	-104.454698	42.745083    	1894	1893          	3.5  	19.6       	5.0        	1.017238
74                      	850.7                  	18.5                   	37 	10.4               	347             	-104.454634	42.744909    	1904	1903          	3.5  	19.5       	5.0        	1.016391
76                      	849.7                  	18.4                   	37 	10.4               	346             	-104.454570	42.744735    	1914	1913          	3.4  	19.4       	5.0        	1.015544
78                      	848.7                  	18.3                   	37 	10.4               	346             	-104.454508	42.744548    	1925	1924          	3.3  	19.3       	5.2        	1.014697
80                      	847.6                  	18.2                   	37 	10.4               	346             	-104.454446	42.744347    	1935	1934          	3.3  	19.2       	5.4        	1.013766
82                      	846.5                  	18.1                   	37 	10.4               	345             	-104.454384	42.744147    	1946	1945          	3.2  	19.1       	5.4        	1.012836
84                      	845.5                  	18.0                   	37 	10.4               	345             	-104.454322	42.743947    	1957	1956          	3.1  	19.0       	5.4        	1.011907
86                      	844.4                  	17.9                   	37 	10.4               	345             	-104.454261	42.743747    	1968	1967          	3.0  	18.9       	5.4        	1.010977
88                      	843.3                  	17.8                   	37 	10.4               	345             	-104.454199	42.743547    	1979	1978          	3.0  	18.8       	5.4        	1.009876
90                      	842.2                  	17.8                   	37 	10.4               	344             	-104.454137	42.743347    	1990	1989          	2.8  	18.7       	5.4        	1.008749
92                      	841.2                  	17.7                   	36 	10.6               	345             	-104.454076	42.743147    	2001	2000          	2.5  	18.7       	5.4        	1.007623
