Flight Information:     	                       	                       	   	                   	                	           	             	       	              	     	           	          	        
Launch Date:            	                       	Monday, August 21, 2017	   	                   	Launch Time:    	           	5:40:56 PM   	       	End of Ascent:	     	           	1:27:01 AM	        
Station name:           	                       	                       	   	                   	Number of sonde:	           	00608531     	       	              	     	           	          	        
Ground values:          	                       	                       	   	                   	                	           	             	       	              	     	           	          	        
Pressure:               	                       	887.9 hPa              	   	                   	Temperature:    	           	22.3 °C      	       	Humidity:     	     	           	33 %      	        
Wind Direction:         	                       	10 °                   	   	                   	Wind Speed:     	           	4 m/s        	       	Cloud group:  	     	           	9////     	        
Position:               	                       	                       	   	                   	                	           	             	       	              	     	           	          	        
Longitude:              	                       	-104.456 °             	   	                   	Latitude:       	           	42.752 °     	       	Altitude:     	     	           	1536 m    	        
Staff:                  	                       	                       	   	                   	                	           	             	       	              	     	           	          	        
Company:                	                       	                       	   	                   	                	           	             	       	              	     	           	          	        
Operator:               	                       	                       	   	                   	                	           	             	       	              	     	           	          	        
Events:                 	                       	                       	   	                   	                	           	             	       	              	     	           	          	        
Highest Point:          	                       	10.2 hPa               	   	                   	31682 m         	           	             	       	              	     	           	          	        
Tropopauses:            	                       	1.: 148.9 hPa          	   	                   	                	           	             	       	              	     	           	          	        
Max Winds:              	                       	1.: 184.3 hPa          	   	                   	                	           	             	       	              	     	           	          	        
Remarks:                	                       	                       	   	                   	                	           	             	       	              	     	           	          	        
                        	                       	                       	   	                   	                	           	             	       	              	     	           	          	        
Profile Data:           	                       	                       	   	                   	                	           	             	       	              	     	           	          	        
Time                    	P                      	T                      	Hu 	Ws                 	Wd              	Long.      	Lat.         	Alt    	Geopot        	Dewp.	Virt. Temp 	Rs        	D       
[sec]                   	[hPa]                  	[°C]                   	[%]	[m/s]              	[°]             	[°]        	[°]          	[m]    	[m]           	[°C] 	[°C]       	[m/s]     	[kg/m3] 
0                       	887.9                  	22.3                   	33 	4.3                	010             	-104.456100	42.751600    	1536   	1536          	5.3  	23.4       	0.0       	1.047124
2                       	886.8                  	21.8                   	33 	4.6                	007             	-104.456058	42.751441    	1547   	1547          	5.0  	22.9       	5.5       	1.047599
4                       	885.6                  	21.3                   	34 	5.0                	004             	-104.456016	42.751282    	1558   	1558          	4.7  	22.4       	5.5       	1.048078
6                       	884.5                  	20.8                   	34 	5.4                	002             	-104.455974	42.751123    	1569   	1569          	4.4  	21.8       	5.5       	1.048560
8                       	883.4                  	20.6                   	34 	5.8                	360             	-104.455933	42.750963    	1580   	1580          	4.4  	21.7       	5.5       	1.047685
10                      	882.3                  	20.6                   	35 	6.1                	359             	-104.455891	42.750804    	1592   	1591          	4.5  	21.7       	5.5       	1.046521
12                      	881.1                  	20.5                   	35 	6.5                	357             	-104.455849	42.750645    	1603   	1602          	4.6  	21.6       	5.5       	1.045358
14                      	880.0                  	20.5                   	36 	6.9                	356             	-104.455807	42.750486    	1614   	1613          	4.8  	21.6       	5.5       	1.044195
