Flight Information:     	                       	                       	   	                       	                	           	             	     	              	     	           	          	        
Launch Date:            	                       	Monday, August 21, 2017	   	                       	Launch Time:    	           	6:16:55 PM   	     	End of Ascent:	     	           	1:40:30 AM	        
Station name:           	                       	                       	   	                       	Number of sonde:	           	00608538     	     	              	     	           	          	        
Ground values:          	                       	                       	   	                       	                	           	             	     	              	     	           	          	        
Pressure:               	                       	888.1 hPa              	   	                       	Temperature:    	           	20.6 °C      	     	Humidity:     	     	           	40 %      	        
Wind Direction:         	                       	0 °                    	   	                       	Wind Speed:     	           	0 m/s        	     	Cloud group:  	     	           	9////     	        
Position:               	                       	                       	   	                       	                	           	             	     	              	     	           	          	        
Longitude:              	                       	-104.456 °             	   	                       	Latitude:       	           	42.752 °     	     	Altitude:     	     	           	1536 m    	        
Staff:                  	                       	                       	   	                       	                	           	             	     	              	     	           	          	        
Company:                	                       	                       	   	                       	                	           	             	     	              	     	           	          	        
Operator:               	                       	                       	   	                       	                	           	             	     	              	     	           	          	        
Events:                 	                       	                       	   	                       	                	           	             	     	              	     	           	          	        
Highest Point:          	                       	6.7 hPa                	   	                       	34528 m         	           	             	     	              	     	           	          	        
Tropopauses:            	                       	1.: 212.2 hPa          	   	                       	2.: 95.4 hPa    	           	             	     	              	     	           	          	        
Max Winds:              	                       	1.: 178.3 hPa          	   	                       	                	           	             	     	              	     	           	          	        
Remarks:                	                       	                       	   	                       	                	           	             	     	              	     	           	          	        
                        	                       	                       	   	                       	                	           	             	     	              	     	           	          	        
Profile Data:           	                       	                       	   	                       	                	           	             	     	              	     	           	          	        
Time                    	P                      	T                      	Hu 	Ws                     	Wd              	Long.      	Lat.         	Alt  	Geopot        	Dewp.	Virt. Temp 	Rs        	D       
[sec]                   	[hPa]                  	[°C]                   	[%]	[m/s]                  	[°]             	[°]        	[°]          	[m]  	[m]           	[°C] 	[°C]       	[m/s]     	[kg/m3] 
0                       	888.1                  	20.6                   	40 	0.0                    	000             	-104.456100	42.751600    	1536 	1536          	6.6  	21.8       	0.0       	1.053421
2                       	886.9                  	20.5                   	40 	0.6                    	349             	-104.456063	42.751457    	1548 	1548          	6.4  	21.7       	5.9       	1.052503
4                       	885.7                  	20.3                   	40 	1.2                    	349             	-104.456026	42.751315    	1560 	1559          	6.3  	21.5       	5.9       	1.051585
6                       	884.5                  	20.2                   	40 	1.8                    	349             	-104.455990	42.751172    	1571 	1571          	6.1  	21.4       	5.9       	1.050668
8                       	883.3                  	20.1                   	40 	2.4                    	349             	-104.455953	42.751029    	1583 	1583          	6.0  	21.3       	5.9       	1.049370
10                      	882.1                  	20.1                   	39 	3.0                    	349             	-104.455916	42.750886    	1595 	1594          	5.8  	21.3       	5.9       	1.048026
12                      	880.9                  	20.1                   	39 	3.5                    	349             	-104.455879	42.750744    	1606 	1606          	5.7  	21.3       	5.9       	1.046682
14                      	879.7                  	20.1                   	38 	4.1                    	349             	-104.455842	42.750601    	1618 	1618          	5.5  	21.2       	5.9       	1.045341
16                      	878.6                  	20.1                   	38 	4.7                    	349             	-104.455805	42.750445    	1630 	1629          	5.3  	21.2       	5.9       	1.044000
18                      	877.4                  	20.0                   	38 	5.3                    	349             	-104.455766	42.750280    	1642 	1641          	5.2  	21.2       	5.9       	1.042662
20                      	876.4                  	20.0                   	37 	5.9                    	349             	-104.455728	42.750115    	1653 	1652          	5.0  	21.1       	5.5       	1.041582
22                      	875.4                  	20.0                   	37 	6.5                    	349             	-104.455690	42.749949    	1662 	1661          	5.0  	21.1       	4.7       	1.040566
24                      	874.4                  	19.9                   	37 	7.1                    	349             	-104.455652	42.749784    	1671 	1670          	4.9  	21.0       	4.7       	1.039550
26                      	873.4                  	19.9                   	37 	7.7                    	349             	-104.455613	42.749619    	1681 	1680          	4.9  	21.0       	4.7       	1.038598
28                      	872.5                  	19.8                   	37 	8.3                    	349             	-104.455575	42.749453    	1690 	1689          	4.8  	20.9       	4.7       	1.037646
