Flight Information:     	                       	                       	   	                   	                	           	             	       	              	     	           	          	        
Launch Date:            	                       	Monday, August 21, 2017	   	                   	Launch Time:    	           	5:40:56 PM   	       	End of Ascent:	     	           	1:22:52 AM	        
Station name:           	                       	                       	   	                   	Number of sonde:	           	00608507     	       	              	     	           	          	        
Ground values:          	                       	                       	   	                   	                	           	             	       	              	     	           	          	        
Pressure:               	                       	871.5 hPa              	   	                   	Temperature:    	           	26.5 °C      	       	Humidity:     	     	           	29 %      	        
Wind Direction:         	                       	333 °                  	   	                   	Wind Speed:     	           	4 m/s        	       	Cloud group:  	     	           	9////     	        
Position:               	                       	                       	   	                   	                	           	             	       	              	     	           	          	        
Longitude:              	                       	-104.382 °             	   	                   	Latitude:       	           	41.915 °     	       	Altitude:     	     	           	1255 m    	        
Staff:                  	                       	                       	   	                   	                	           	             	       	              	     	           	          	        
Company:                	                       	                       	   	                   	                	           	             	       	              	     	           	          	        
Operator:               	                       	                       	   	                   	                	           	             	       	              	     	           	          	        
Events:                 	                       	                       	   	                   	                	           	             	       	              	     	           	          	        
Highest Point:          	                       	9.4 hPa                	   	                   	32435 m         	           	             	       	              	     	           	          	        
Tropopauses:            	                       	1.: 122.5 hPa          	   	                   	                	           	             	       	              	     	           	          	        
Max Winds:              	                       	                       	   	                   	                	           	             	       	              	     	           	          	        
Remarks:                	                       	                       	   	                   	                	           	             	       	              	     	           	          	        
                        	                       	                       	   	                   	                	           	             	       	              	     	           	          	        
Profile Data:           	                       	                       	   	                   	                	           	             	       	              	     	           	          	        
Time                    	P                      	T                      	Hu 	Ws                 	Wd              	Long.      	Lat.         	Alt    	Geopot        	Dewp.	Virt. Temp 	Rs        	D       
[sec]                   	[hPa]                  	[°C]                   	[%]	[m/s]              	[°]             	[°]        	[°]          	[m]    	[m]           	[°C] 	[°C]       	[m/s]     	[kg/m3] 
0                       	871.5                  	26.5                   	29 	4.3                	333             	-104.382000	41.915050    	1255   	1255          	7.0  	27.8       	0.0       	1.013377
1                       	870.9                  	26.2                   	30 	4.3                	334             	-104.382000	41.915018    	1261   	1261          	7.2  	27.5       	6.2       	1.013796
2                       	870.3                  	25.8                   	31 	4.3                	335             	-104.382000	41.914986    	1267   	1267          	7.3  	27.2       	6.2       	1.014216
3                       	869.7                  	25.5                   	32 	4.4                	337             	-104.382000	41.914954    	1274   	1274          	7.5  	26.8       	6.2       	1.014637
4                       	869.1                  	25.2                   	33 	4.5                	338             	-104.382000	41.914923    	1280   	1280          	7.6  	26.5       	6.2       	1.015060
5                       	868.5                  	24.8                   	33 	4.5                	339             	-104.382000	41.914891    	1286   	1286          	7.7  	26.2       	6.2       	1.015484
6                       	867.8                  	24.5                   	34 	4.5                	340             	-104.382000	41.914859    	1292   	1292          	7.8  	25.9       	6.2       	1.015910
7                       	867.2                  	24.4                   	35 	4.6                	341             	-104.382000	41.914827    	1298   	1298          	7.9  	25.7       	6.2       	1.015685
8                       	866.6                  	24.4                   	35 	4.6                	342             	-104.381999	41.914795    	1305   	1304          	8.0  	25.7       	6.2       	1.014983
9                       	866.0                  	24.3                   	35 	4.7                	343             	-104.381999	41.914763    	1311   	1310          	8.0  	25.7       	6.2       	1.014282
10                      	865.4                  	24.3                   	35 	4.7                	344             	-104.381999	41.914732    	1317   	1317          	8.0  	25.7       	6.2       	1.013581
11                      	864.8                  	24.3                   	35 	4.8                	345             	-104.381999	41.914700    	1323   	1323          	8.0  	25.7       	6.2       	1.012880
12                      	864.2                  	24.3                   	35 	4.8                	346             	-104.381999	41.914668    	1329   	1329          	8.1  	25.7       	6.2       	1.012180
13                      	863.6                  	24.3                   	35 	4.8                	347             	-104.381999	41.914636    	1336   	1335          	8.1  	25.7       	6.2       	1.011508
14                      	863.0                  	24.3                   	35 	4.9                	348             	-104.381999	41.914604    	1342   	1341          	8.1  	25.7       	6.2       	1.010836
15                      	862.4                  	24.3                   	36 	4.9                	349             	-104.381999	41.914571    	1348   	1347          	8.1  	25.7       	6.1       	1.010165
16                      	861.9                  	24.3                   	36 	5.0                	350             	-104.382013	41.914498    	1354   	1353          	8.2  	25.7       	5.7       	1.009494
17                      	861.3                  	24.3                   	36 	5.0                	351             	-104.382026	41.914425    	1359   	1359          	8.2  	25.7       	5.7       	1.008824
18                      	860.7                  	24.3                   	36 	5.0                	352             	-104.382039	41.914352    	1365   	1364          	8.2  	25.7       	5.7       	1.008154
19                      	860.1                  	24.3                   	36 	5.1                	353             	-104.382053	41.914278    	1371   	1370          	8.2  	25.7       	5.7       	1.007507
20                      	859.6                  	24.3                   	36 	5.1                	354             	-104.382066	41.914205    	1377   	1376          	8.2  	25.7       	5.7       	1.006955
21                      	859.0                  	24.2                   	36 	5.2                	355             	-104.382079	41.914132    	1382   	1382          	8.2  	25.7       	5.7       	1.006467
22                      	858.4                  	24.2                   	36 	5.2                	356             	-104.382092	41.914059    	1388   	1387          	8.2  	25.6       	5.7       	1.005980
23                      	857.9                  	24.1                   	36 	5.3                	356             	-104.382106	41.913985    	1394   	1393          	8.1  	25.6       	5.7       	1.005494
24                      	857.3                  	24.1                   	36 	5.3                	357             	-104.382119	41.913912    	1399   	1399          	8.1  	25.5       	5.7       	1.005007
25                      	856.8                  	24.0                   	36 	5.3                	358             	-104.382132	41.913839    	1405   	1404          	8.1  	25.4       	5.7       	1.004520
26                      	856.2                  	24.0                   	36 	5.4                	359             	-104.382146	41.913766    	1411   	1410          	8.1  	25.4       	5.7       	1.004033
27                      	855.6                  	23.9                   	36 	5.4                	360             	-104.382159	41.913692    	1417   	1416          	8.0  	25.3       	5.7       	1.003547
28                      	855.1                  	23.9                   	36 	5.4                	360             	-104.382172	41.913619    	1422   	1422          	8.0  	25.3       	5.7       	1.003061
29                      	854.5                  	23.8                   	36 	5.5                	001             	-104.382186	41.913546    	1428   	1427          	8.0  	25.2       	5.7       	1.002575
30                      	854.0                  	23.8                   	36 	5.5                	002             	-104.382199	41.913473    	1434   	1433          	8.0  	25.2       	5.7       	1.002089
31                      	853.4                  	23.7                   	36 	5.6                	002             	-104.382212	41.913399    	1440   	1439          	7.9  	25.1       	5.7       	1.001603
32                      	852.8                  	23.7                   	36 	5.8                	002             	-104.382226	41.913326    	1445   	1444          	7.9  	25.1       	5.7       	1.001118
33                      	852.3                  	23.6                   	36 	5.9                	003             	-104.382239	41.913253    	1451   	1450          	7.9  	25.0       	5.7       	1.000633
34                      	851.7                  	23.6                   	36 	6.0                	003             	-104.382252	41.913180    	1457   	1456          	7.9  	25.0       	5.7       	1.000154
35                      	851.2                  	23.5                   	37 	6.1                	003             	-104.382265	41.913106    	1462   	1462          	7.8  	24.9       	5.7       	0.999675
36                      	850.6                  	23.5                   	37 	6.2                	004             	-104.382279	41.913033    	1468   	1467          	7.8  	24.9       	5.7       	0.999196
37                      	850.1                  	23.4                   	37 	6.3                	004             	-104.382292	41.912960    	1474   	1473          	7.8  	24.8       	5.7       	0.998716
38                      	849.5                  	23.4                   	37 	6.4                	004             	-104.382305	41.912887    	1480   	1479          	7.8  	24.8       	5.7       	0.998237
39                      	848.9                  	23.3                   	37 	6.5                	004             	-104.382319	41.912814    	1485   	1484          	7.7  	24.7       	5.7       	0.997759
40                      	848.4                  	23.3                   	37 	6.6                	005             	-104.382332	41.912740    	1491   	1490          	7.7  	24.7       	5.7       	0.997280
41                      	847.8                  	23.2                   	37 	6.7                	005             	-104.382345	41.912667    	1497   	1496          	7.7  	24.6       	5.7       	0.996802
42                      	847.3                  	23.2                   	37 	6.8                	005             	-104.382359	41.912594    	1502   	1502          	7.7  	24.5       	5.7       	0.996324
43                      	846.7                  	23.1                   	37 	6.9                	005             	-104.382372	41.912521    	1508   	1507          	7.6  	24.5       	5.7       	0.995804
44                      	846.1                  	23.1                   	37 	7.0                	006             	-104.382385	41.912447    	1514   	1513          	7.6  	24.4       	5.7       	0.995285
45                      	845.5                  	23.0                   	37 	7.1                	006             	-104.382399	41.912374    	1520   	1519          	7.6  	24.4       	5.7       	0.994766
46                      	844.9                  	22.9                   	37 	7.2                	006             	-104.382418	41.912294    	1526   	1525          	7.6  	24.3       	6.2       	0.994248
47                      	844.3                  	22.9                   	37 	7.3                	006             	-104.382437	41.912214    	1532   	1531          	7.5  	24.3       	6.6       	0.993746
48                      	843.7                  	22.8                   	37 	7.4                	006             	-104.382456	41.912133    	1539   	1538          	7.5  	24.2       	6.6       	0.993250
49                      	843.1                  	22.8                   	37 	7.5                	006             	-104.382475	41.912053    	1546   	1545          	7.5  	24.1       	6.6       	0.992697
50                      	842.5                  	22.7                   	37 	7.6                	007             	-104.382493	41.911973    	1552   	1551          	7.4  	24.1       	6.6       	0.992144
51                      	841.8                  	22.7                   	37 	7.7                	007             	-104.382512	41.911893    	1559   	1558          	7.4  	24.0       	6.6       	0.991592
52                      	841.2                  	22.6                   	37 	7.8                	007             	-104.382531	41.911813    	1565   	1564          	7.4  	24.0       	6.6       	0.991041
53                      	840.6                  	22.5                   	38 	8.0                	007             	-104.382550	41.911732    	1572   	1571          	7.4  	23.9       	6.6       	0.990489
54                      	839.9                  	22.5                   	38 	8.1                	007             	-104.382569	41.911652    	1578   	1577          	7.3  	23.8       	6.6       	0.989938
55                      	839.3                  	22.4                   	38 	8.2                	007             	-104.382588	41.911572    	1585   	1584          	7.3  	23.8       	6.6       	0.989387
56                      	838.7                  	22.4                   	38 	8.3                	008             	-104.382607	41.911492    	1592   	1591          	7.3  	23.7       	6.6       	0.988835
57                      	838.0                  	22.3                   	38 	8.4                	008             	-104.382626	41.911412    	1598   	1597          	7.2  	23.7       	6.6       	0.988284
58                      	837.4                  	22.2                   	38 	8.5                	008             	-104.382645	41.911332    	1605   	1604          	7.2  	23.6       	6.6       	0.987734
59                      	836.8                  	22.2                   	38 	8.6                	008             	-104.382664	41.911251    	1611   	1610          	7.2  	23.5       	6.6       	0.987184
60                      	836.1                  	22.1                   	38 	8.7                	008             	-104.382683	41.911171    	1618   	1617          	7.2  	23.5       	6.6       	0.986638
61                      	835.5                  	22.1                   	38 	8.7                	008             	-104.382702	41.911091    	1624   	1623          	7.1  	23.4       	6.6       	0.986105
62                      	834.9                  	22.0                   	38 	8.8                	008             	-104.382721	41.911011    	1631   	1630          	7.1  	23.4       	6.6       	0.985572
63                      	834.2                  	21.9                   	38 	8.8                	008             	-104.382740	41.910931    	1638   	1637          	7.1  	23.3       	6.6       	0.985039
64                      	833.6                  	21.9                   	38 	8.8                	008             	-104.382759	41.910851    	1644   	1643          	7.1  	23.2       	6.6       	0.984507
65                      	833.0                  	21.8                   	38 	8.8                	009             	-104.382778	41.910770    	1651   	1650          	7.1  	23.2       	6.6       	0.983975
