Flight Information:     	                       	                       	   	                   	                	           	             	     	              	     	           	          	        
Launch Date:            	                       	Monday, August 21, 2017	   	                   	Launch Time:    	           	6:18:28 PM   	     	End of Ascent:	     	           	1:30:14 AM	        
Station name:           	                       	                       	   	                   	Number of sonde:	           	00608613     	     	              	     	           	          	        
Ground values:          	                       	                       	   	                   	                	           	             	     	              	     	           	          	        
Pressure:               	                       	872.0 hPa              	   	                   	Temperature:    	           	22.8 °C      	     	Humidity:     	     	           	42 %      	        
Wind Direction:         	                       	335 °                  	   	                   	Wind Speed:     	           	2 m/s        	     	Cloud group:  	     	           	9////     	        
Position:               	                       	                       	   	                   	                	           	             	     	              	     	           	          	        
Longitude:              	                       	-104.382 °             	   	                   	Latitude:       	           	41.915 °     	     	Altitude:     	     	           	1255 m    	        
Staff:                  	                       	                       	   	                   	                	           	             	     	              	     	           	          	        
Company:                	                       	                       	   	                   	                	           	             	     	              	     	           	          	        
Operator:               	                       	                       	   	                   	                	           	             	     	              	     	           	          	        
Events:                 	                       	                       	   	                   	                	           	             	     	              	     	           	          	        
Highest Point:          	                       	9.0 hPa                	   	                   	32241 m         	           	             	     	              	     	           	          	        
Tropopauses:            	                       	1.: 119.3 hPa          	   	                   	                	           	             	     	              	     	           	          	        
Max Winds:              	                       	1.: 184.6 hPa          	   	                   	                	           	             	     	              	     	           	          	        
Remarks:                	                       	                       	   	                   	                	           	             	     	              	     	           	          	        
                        	                       	                       	   	                   	                	           	             	     	              	     	           	          	        
Profile Data:           	                       	                       	   	                   	                	           	             	     	              	     	           	          	        
Time                    	P                      	T                      	Hu 	Ws                 	Wd              	Long.      	Lat.         	Alt  	Geopot        	Dewp.	Virt. Temp 	Rs        	D       
[sec]                   	[hPa]                  	[°C]                   	[%]	[m/s]              	[°]             	[°]        	[°]          	[m]  	[m]           	[°C] 	[°C]       	[m/s]     	[kg/m3] 
0                       	872.0                  	22.8                   	42 	1.6                	335             	-104.381760	41.915050    	1255 	1255          	9.2  	24.3       	0.0       	1.026635
2                       	870.8                  	23.4                   	41 	1.8                	344             	-104.381807	41.915001    	1267 	1267          	9.4  	24.9       	6.0       	1.023222
4                       	869.6                  	24.0                   	40 	2.1                	352             	-104.381855	41.914952    	1279 	1279          	9.5  	25.5       	6.0       	1.019825
6                       	868.4                  	24.5                   	39 	2.3                	359             	-104.381902	41.914903    	1291 	1291          	9.6  	26.1       	6.0       	1.016442
8                       	867.3                  	24.5                   	38 	2.5                	004             	-104.381950	41.914855    	1303 	1303          	9.3  	26.0       	6.0       	1.015330
10                      	866.1                  	24.3                   	38 	2.8                	008             	-104.381997	41.914806    	1315 	1315          	8.9  	25.8       	6.0       	1.014530
12                      	864.9                  	24.1                   	37 	3.0                	012             	-104.382045	41.914757    	1327 	1326          	8.6  	25.6       	6.0       	1.013732
14                      	863.7                  	24.0                   	37 	3.2                	015             	-104.382092	41.914708    	1339 	1338          	8.2  	25.4       	6.0       	1.012939
16                      	862.6                  	23.8                   	36 	3.5                	018             	-104.382140	41.914659    	1351 	1350          	7.9  	25.2       	6.0       	1.012147
18                      	861.4                  	23.6                   	36 	3.7                	020             	-104.382190	41.914512    	1363 	1362          	7.5  	25.0       	5.9       	1.011356
20                      	860.4                  	23.5                   	35 	3.9                	022             	-104.382241	41.914364    	1373 	1372          	7.2  	24.8       	5.3       	1.010613
22                      	859.3                  	23.4                   	35 	4.2                	024             	-104.382292	41.914217    	1384 	1383          	7.1  	24.8       	5.3       	1.009531
24                      	858.3                  	23.4                   	35 	4.4                	025             	-104.382343	41.914069    	1394 	1394          	7.0  	24.7       	5.3       	1.008450
26                      	857.2                  	23.4                   	35 	4.6                	027             	-104.382393	41.913921    	1405 	1404          	6.9  	24.7       	5.3       	1.007369
28                      	856.2                  	23.3                   	35 	4.8                	028             	-104.382444	41.913774    	1415 	1415          	6.9  	24.6       	5.3       	1.006290
30                      	855.2                  	23.3                   	35 	5.1                	029             	-104.382495	41.913626    	1426 	1425          	6.8  	24.6       	5.3       	1.005211
32                      	854.1                  	23.2                   	34 	5.4                	026             	-104.382545	41.913479    	1436 	1436          	6.7  	24.5       	5.3       	1.004133
34                      	853.1                  	23.2                   	34 	5.7                	024             	-104.382596	41.913331    	1447 	1446          	6.6  	24.5       	5.3       	1.003064
36                      	852.1                  	23.2                   	34 	6.1                	022             	-104.382647	41.913183    	1458 	1457          	6.6  	24.4       	5.3       	1.002001
38                      	851.1                  	23.1                   	34 	6.4                	021             	-104.382697	41.913036    	1468 	1467          	6.6  	24.4       	5.3       	1.000939
40                      	850.0                  	23.1                   	34 	6.7                	019             	-104.382748	41.912888    	1479 	1478          	6.6  	24.3       	5.3       	0.999878
42                      	849.0                  	23.0                   	35 	7.0                	018             	-104.382799	41.912740    	1489 	1488          	6.6  	24.3       	5.3       	0.998818
44                      	848.0                  	23.0                   	35 	7.4                	017             	-104.382850	41.912593    	1500 	1499          	6.5  	24.3       	5.3       	0.997762
46                      	847.0                  	22.9                   	35 	7.7                	015             	-104.382899	41.912443    	1510 	1509          	6.5  	24.2       	5.3       	0.996707
