altOfDetection_km,vert_wavelength_km,horiz_wavelength_km,propagation_dir,axial_ratio,int_vert_group vel_ms),int_horiz_group_vel_ms,int_vert_phase_spd_ms,int_horiz_phase_spd_ms),degreeofpolarization,stokes_param_Q
11.2083390720391,0.776396363067496,46.8211862318087,40.0916582430298,1.77002547438873,-0.0158465452257469,0.955638228667194,0.023275808320553,1.40366571497934,0.902606423370454,-0.0853856915851381
16.182,0.94098,95.881,202.46,1.8299,-0.020454,2.0842,0.029164,2.9717,0.87523,-0.92841
19.475,1.5249,76.878,219.35,3.8533,-0.092817,4.6794,0.09952,5.0174,0.809,-0.66198
18.967,0.96201,95.966,-30.061,2.1548,-0.027548,2.7481,0.03511,3.5024,0.92319,-0.67488
20.63,0.96872,366.75,139.16,1.126,-0.0039024,1.4774,0.018474,6.9942,0.71282,-1.8109
21.675,3.2068,343.72,158.91,2.1092,-0.088811,9.5191,0.11456,12.279,0.97873,-1.2947
26.207,0.60389,89.25,23.698,1.82,-0.012996,1.9206,0.018615,2.7512,0.72909,-0.23885
27.746,1.0455,294.86,-41.089,1.2919,-0.0091699,2.5862,0.022876,6.4519,0.8244,-0.87863
29.971,1.2943,244.64,40.102,1.6312,-0.022319,4.2185,0.035758,6.7587,0.91054,-0.58088
31.621,0.54322,215.61,-23.975,1.1859,-0.0031526,1.2513,0.010911,4.3308,0.81288,-0.53148
