alt_of_detection_km,lat_of_detection,lon_of_detection,vert_wavelength_km,horiz_wavelength_km,propagation_dir,axial_ratio,int_vert_group_vel_ms,int_horiz_group_vel_ms,int_vert_phase_spd_ms,int_horiz_phase_spd_ms,degreeofpolarization,stokes_param_Q
13.2309779845155,46.862328,-113.992252,0.287304875537905,27.9674700251309,204.211614043057,2.45696729713006,-0.00918514971220473,0.894121266725717,0.0110087983413495,1.07164292651826,0.818187331001688,0.0801444328817955
13.5938432987467,46.865116,-113.995408,0.626631575924138,84.9508369617,199.276792111819,1.90256081162627,-0.0134564057203372,1.82425044054474,0.0185929527947201,2.52059896466512,0.872416036186281,-0.265223398289731
16.5226360389087,46.832785,-114.04601,0.757898226879949,88.4281486148318,210.695996355181,2.06252437197943,-0.0186478084955073,2.17574223358468,0.0243785305645011,2.84437705131403,0.707665346235356,-0.319905854778435
19.7507767300666,46.695419,-114.181437,1.54281078133,202.075586800902,3.46543439993281,1.9571090850426,-0.034795570445117,4.55748391238728,0.0470896261501581,6.16774522947342,0.979529404271128,-1.77609262377143
21.4465469135802,46.586102,-114.282165,0.830675372473777,25.107435798475,236.255248243297,7.38735980857949,-0.0939477281623016,2.83960092162481,0.0957013648674687,2.89260516666185,0.988419575548584,-0.122455801348322
13.231,46.862,-113.99,2.1869e-05,0.0021289,204.21,2.457,-6.9917e-07,6.806e-05,8.3798e-07,8.1573e-05,0.81819,0.080144
13.594,46.865,-114,1.0027e-05,0.0013593,199.28,1.9026,-2.1532e-07,2.919e-05,2.9751e-07,4.0333e-05,0.87242,-0.26522
16.523,46.833,-114.05,8.2903e-06,0.00096727,210.7,2.0625,-2.0398e-07,2.3799e-05,2.6666e-07,3.1113e-05,0.70767,-0.31991
19.751,46.695,-114.18,4.0726e-06,0.00053342,3.4654,1.9571,-9.185e-08,1.203e-05,1.243e-07,1.6281e-05,0.97953,-1.7761
21.447,46.586,-114.28,7.5639e-06,0.00022862,236.26,7.3874,-8.5547e-07,2.5857e-05,8.7144e-07,2.6339e-05,0.98842,-0.12246
13.231,46.862,-113.99,0.2873,27.967,204.21,2.457,-0.0091851,0.89412,0.011009,1.0716,0.81819,0.080144
13.594,46.865,-114,0.62663,84.951,199.28,1.9026,-0.013456,1.8243,0.018593,2.5206,0.87242,-0.26522
16.523,46.833,-114.05,0.7579,88.428,210.7,2.0625,-0.018648,2.1757,0.024379,2.8444,0.70767,-0.31991
19.751,46.695,-114.18,1.5428,202.08,3.4654,1.9571,-0.034796,4.5575,0.04709,6.1677,0.97953,-1.7761
21.447,46.586,-114.28,0.83068,25.107,236.26,7.3874,-0.093948,2.8396,0.095701,2.8926,0.98842,-0.12246
13.231,46.862,-113.99,0.2873,27.967,204.21,2.457,-0.0091851,0.89412,0.011009,1.0716,0.81819,0.080144
13.594,46.865,-114,0.62663,84.951,199.28,1.9026,-0.013456,1.8243,0.018593,2.5206,0.87242,-0.26522
16.523,46.833,-114.05,0.7579,88.428,210.7,2.0625,-0.018648,2.1757,0.024379,2.8444,0.70767,-0.31991
19.751,46.695,-114.18,1.5428,202.08,3.4654,1.9571,-0.034796,4.5575,0.04709,6.1677,0.97953,-1.7761
21.447,46.586,-114.28,0.83068,25.107,236.26,7.3874,-0.093948,2.8396,0.095701,2.8926,0.98842,-0.12246
13.231,46.862,-113.99,0.2873,27.967,204.21,2.457,-0.0091851,0.89412,0.011009,1.0716,0.81819,0.080144
13.594,46.865,-114,0.62663,84.951,199.28,1.9026,-0.013456,1.8243,0.018593,2.5206,0.87242,-0.26522
16.523,46.833,-114.05,0.7579,88.428,210.7,2.0625,-0.018648,2.1757,0.024379,2.8444,0.70767,-0.31991
19.751,46.695,-114.18,1.5428,202.08,3.4654,1.9571,-0.034796,4.5575,0.04709,6.1677,0.97953,-1.7761
21.447,46.586,-114.28,0.83068,25.107,236.26,7.3874,-0.093948,2.8396,0.095701,2.8926,0.98842,-0.12246
13.231,46.373,-114.45,0.2873,27.967,204.21,2.457,-0.0091851,0.89412,0.011009,1.0716,0.81819,0.080144
13.594,46.36,-114.46,0.62663,84.951,199.28,1.9026,-0.013456,1.8243,0.018593,2.5206,0.87242,-0.26522
16.523,46.29,-114.48,0.7579,88.428,210.7,2.0625,-0.018648,2.1757,0.024379,2.8444,0.70767,-0.31991
19.751,46.261,-114.48,1.5428,202.08,3.4654,1.9571,-0.034796,4.5575,0.04709,6.1677,0.97953,-1.7761
21.447,46.264,-114.48,0.83068,25.107,236.26,7.3874,-0.093948,2.8396,0.095701,2.8926,0.98842,-0.12246
