alt_of_detection_km,lat_of_detection,lon_of_detection,vert_wavelength_km,horiz_wavelength_km,propagation_dir,axial_ratio,int_vert_group_vel_ms,int_horiz_group_vel_ms,int_vert_phase_spd_ms,int_horiz_phase_spd_ms,degreeofpolarization,stokes_param_Q
14.4567306313371,46.859776,-113.974771,0.492095743237822,38.1927989538192,197.626438257756,2.89482970366424,-0.0195651323540006,1.51849955373436,0.0222162202844251,1.72425721314712,0.629877209265634,-0.0807428809846445
21.3464642884542,46.90183,-113.95422,1.78886355795905,227.082105286849,-39.6230991715815,2.10067196601579,-0.0453242106721245,5.75355070211917,0.0586047747504147,7.43941345944193,0.872026070903583,-0.136952593003437
20.6338348484848,46.888447,-113.951893,0.513175331562065,27.0568184180101,38.8102496458733,4.43979323658938,-0.0337299192707606,1.77838692710569,0.0355325242683549,1.87342804287961,0.951081422008011,-0.0843647383549167
24.3039528455284,46.968801,-113.967791,0.882737013300618,65.1779759730002,-32.2432471398096,3.37669106167526,-0.0424088189791398,3.13130744810443,0.0464857893311786,3.4323355817886,0.750470571512298,-0.335372346414394
27.2342,46.976396,-113.954414,0.603640545081273,73.0349765550937,57.4552346550346,2.35866079474573,-0.0182132583184419,2.20363742150582,0.02220452235358,2.68654380943285,0.946929711764786,-0.300760633103525
14.457,46.86,-113.97,1.2768e-05,0.00099097,197.63,2.8948,-5.0765e-07,3.94e-05,5.7644e-07,4.4739e-05,0.62988,-0.080743
21.346,46.902,-113.95,3.5124e-06,0.00044587,-39.623,2.1007,-8.8993e-08,1.1297e-05,1.1507e-07,1.4607e-05,0.87203,-0.13695
20.634,46.888,-113.95,1.2244e-05,0.00064554,38.81,4.4398,-8.0475e-07,4.243e-05,8.4776e-07,4.4698e-05,0.95108,-0.084365
24.304,46.969,-113.97,7.1178e-06,0.00052555,-32.243,3.3767,-3.4196e-07,2.5249e-05,3.7483e-07,2.7676e-05,0.75047,-0.33537
27.234,46.976,-113.95,1.0409e-05,0.0012594,57.455,2.3587,-3.1406e-07,3.7998e-05,3.8288e-07,4.6325e-05,0.94693,-0.30076
14.457,46.86,-113.97,0.4921,38.193,197.63,2.8948,-0.019565,1.5185,0.022216,1.7243,0.62988,-0.080743
21.346,46.902,-113.95,1.7889,227.08,-39.623,2.1007,-0.045324,5.7536,0.058605,7.4394,0.87203,-0.13695
20.634,46.888,-113.95,0.51318,27.057,38.81,4.4398,-0.03373,1.7784,0.035533,1.8734,0.95108,-0.084365
24.304,46.969,-113.97,0.88274,65.178,-32.243,3.3767,-0.042409,3.1313,0.046486,3.4323,0.75047,-0.33537
27.234,46.976,-113.95,0.60364,73.035,57.455,2.3587,-0.018213,2.2036,0.022205,2.6865,0.94693,-0.30076
14.457,46.86,-113.97,0.4921,38.193,197.63,2.8948,-0.019565,1.5185,0.022216,1.7243,0.62988,-0.080743
21.346,46.902,-113.95,1.7889,227.08,-39.623,2.1007,-0.045324,5.7536,0.058605,7.4394,0.87203,-0.13695
20.634,46.888,-113.95,0.51318,27.057,38.81,4.4398,-0.03373,1.7784,0.035533,1.8734,0.95108,-0.084365
24.304,46.969,-113.97,0.88274,65.178,-32.243,3.3767,-0.042409,3.1313,0.046486,3.4323,0.75047,-0.33537
27.234,46.976,-113.95,0.60364,73.035,57.455,2.3587,-0.018213,2.2036,0.022205,2.6865,0.94693,-0.30076
