alt_of_detection_km,lat_of_detection,lon_of_detection,vert_wavelength_km,horiz_wavelength_km,propagation_dir,axial_ratio,int_vert_group_vel_ms,int_horiz_group_vel_ms,int_vert_phase_spd_ms,int_horiz_phase_spd_ms,degreeofpolarization,stokes_param_Q
15.5815907024793,46.854623,-113.968081,0.759464211606286,109.06831327959,59.3943297501914,1.82302584012914,-0.0150952516494591,2.16786204112929,0.0215922391805899,3.10090860288922,0.642681707649466,-0.277241564121831
16.8673239134199,46.858447,-113.961804,3.33026528000367,274.0330043999,26.6992544713553,2.84283975822586,-0.129379015511611,10.6460348789118,0.147648403266975,12.1493431124059,0.805350932194089,-0.270229422469344
18.9316909090909,46.871932,-113.954702,0.392186759916073,35.8115909939196,10.920644306675,2.59690815957883,-0.0135282982868837,1.23530403014446,0.0158835313070718,1.45036647037676,0.900731249951767,-0.172941805752078
19.0107787878788,46.87328,-113.954625,0.631167846370975,58.5346675247039,229.093761410913,2.54282702976237,-0.0211588850935449,1.96228041600223,0.0250299066671218,2.32127994694015,0.859103592132244,0.0755693957274346
30.0985617516012,46.969223,-113.931102,1.0974429642601,230.417449336297,219.224203795887,1.49511084236128,-0.0141415949065196,2.96914767694037,0.0255889752351975,5.37262217430961,0.957576590091857,-1.09289851164115
15.582,46.855,-113.97,8.2732e-06,0.0011881,59.394,1.823,-1.6444e-07,2.3615e-05,2.3521e-07,3.378e-05,0.64268,-0.27724
16.867,46.858,-113.96,1.8867e-06,0.00015525,26.699,2.8428,-7.3297e-08,6.0313e-06,8.3647e-08,6.883e-06,0.80535,-0.27023
18.932,46.872,-113.95,1.6021e-05,0.0014629,10.921,2.5969,-5.5263e-07,5.0462e-05,6.4885e-07,5.9248e-05,0.90073,-0.17294
19.011,46.873,-113.95,9.9549e-06,0.00092322,229.09,2.5428,-3.3372e-07,3.0949e-05,3.9477e-07,3.6612e-05,0.8591,0.075569
30.099,46.969,-113.93,5.7253e-06,0.0012021,219.22,1.4951,-7.3776e-08,1.549e-05,1.335e-07,2.8029e-05,0.95758,-1.0929
15.582,46.855,-113.97,0.75946,109.07,59.394,1.823,-0.015095,2.1679,0.021592,3.1009,0.64268,-0.27724
16.867,46.858,-113.96,3.3303,274.03,26.699,2.8428,-0.12938,10.646,0.14765,12.149,0.80535,-0.27023
18.932,46.872,-113.95,0.39219,35.812,10.921,2.5969,-0.013528,1.2353,0.015884,1.4504,0.90073,-0.17294
19.011,46.873,-113.95,0.63117,58.535,229.09,2.5428,-0.021159,1.9623,0.02503,2.3213,0.8591,0.075569
30.099,46.969,-113.93,1.0974,230.42,219.22,1.4951,-0.014142,2.9691,0.025589,5.3726,0.95758,-1.0929
15.582,46.855,-113.97,0.75946,109.07,59.394,1.823,-0.015095,2.1679,0.021592,3.1009,0.64268,-0.27724
16.867,46.858,-113.96,3.3303,274.03,26.699,2.8428,-0.12938,10.646,0.14765,12.149,0.80535,-0.27023
18.932,46.872,-113.95,0.39219,35.812,10.921,2.5969,-0.013528,1.2353,0.015884,1.4504,0.90073,-0.17294
19.011,46.873,-113.95,0.63117,58.535,229.09,2.5428,-0.021159,1.9623,0.02503,2.3213,0.8591,0.075569
30.099,46.969,-113.93,1.0974,230.42,219.22,1.4951,-0.014142,2.9691,0.025589,5.3726,0.95758,-1.0929
15.582,46.855,-113.97,0.75946,109.07,59.394,1.823,-0.015095,2.1679,0.021592,3.1009,0.64268,-0.27724
16.867,46.858,-113.96,3.3303,274.03,26.699,2.8428,-0.12938,10.646,0.14765,12.149,0.80535,-0.27023
18.932,46.872,-113.95,0.39219,35.812,10.921,2.5969,-0.013528,1.2353,0.015884,1.4504,0.90073,-0.17294
19.011,46.873,-113.95,0.63117,58.535,229.09,2.5428,-0.021159,1.9623,0.02503,2.3213,0.8591,0.075569
30.099,46.969,-113.93,1.0974,230.42,219.22,1.4951,-0.014142,2.9691,0.025589,5.3726,0.95758,-1.0929
15.582,46.957,-113.95,0.75946,109.07,59.394,1.823,-0.015095,2.1679,0.021592,3.1009,0.64268,-0.27724
16.867,46.966,-113.94,3.3303,274.03,26.699,2.8428,-0.12938,10.646,0.14765,12.149,0.80535,-0.27023
18.932,46.968,-113.93,0.39219,35.812,10.921,2.5969,-0.013528,1.2353,0.015884,1.4504,0.90073,-0.17294
19.011,46.969,-113.93,0.63117,58.535,229.09,2.5428,-0.021159,1.9623,0.02503,2.3213,0.8591,0.075569
30.099,46.967,-114.07,1.0974,230.42,219.22,1.4951,-0.014142,2.9691,0.025589,5.3726,0.95758,-1.0929
