alt_of_detection_km,lat_of_detection,lon_of_detection,vert_wavelength_km,horiz_wavelength_km,propagation_dir,axial_ratio,int_vert_group_vel_ms,int_horiz_group_vel_ms,int_vert_phase_spd_ms,int_horiz_phase_spd_ms,degreeofpolarization,stokes_param_Q
16.0122309424894,46.852759,-113.971992,2.03982690599801,539.069719681246,245.581945755277,1.29673502581991,-0.0167193475118614,4.41846018893589,0.0412517238762109,10.9016873740261,0.89861041018802,-1.20914945788646
21.3182416595533,46.898113,-113.944757,1.74200999546074,132.323370598325,-22.3154867944826,3.13731537167109,-0.0765732791699204,5.81651909227448,0.0852327232035979,6.47429190932465,0.85897651890387,-0.13779773014838
21.8775950885668,46.907128,-113.941187,1.10787607409239,156.119224132984,-29.8094121684877,1.84673786227219,-0.0225517335684849,3.17793589905799,0.031907588400163,4.49634039535421,0.766734614408003,-0.567755365663144
30.7847976190476,46.970169,-113.91615,0.671044212083568,88.9016441862122,61.1726250872673,2.17207950287313,-0.0179132380269395,2.37319134062597,0.0227313064353638,3.01150129934032,0.769914785997853,-0.237862148566777
16.012,46.853,-113.97,3.0803e-06,0.00081403,245.58,1.2967,-2.5247e-08,6.6721e-06,6.2292e-08,1.6462e-05,0.89861,-1.2091
21.318,46.898,-113.94,3.6069e-06,0.00027398,-22.315,3.1373,-1.5855e-07,1.2043e-05,1.7648e-07,1.3405e-05,0.85898,-0.1378
21.878,46.907,-113.94,5.6714e-06,0.0007992,-29.809,1.8467,-1.1545e-07,1.6268e-05,1.6334e-07,2.3017e-05,0.76673,-0.56776
30.785,46.97,-113.92,9.3633e-06,0.0012405,61.173,2.1721,-2.4995e-07,3.3114e-05,3.1718e-07,4.202e-05,0.76991,-0.23786
16.012,46.853,-113.97,2.0398,539.07,245.58,1.2967,-0.016719,4.4185,0.041252,10.902,0.89861,-1.2091
21.318,46.898,-113.94,1.742,132.32,-22.315,3.1373,-0.076573,5.8165,0.085233,6.4743,0.85898,-0.1378
21.878,46.907,-113.94,1.1079,156.12,-29.809,1.8467,-0.022552,3.1779,0.031908,4.4963,0.76673,-0.56776
30.785,46.97,-113.92,0.67104,88.902,61.173,2.1721,-0.017913,2.3732,0.022731,3.0115,0.76991,-0.23786
16.012,46.853,-113.97,2.0398,539.07,245.58,1.2967,-0.016719,4.4185,0.041252,10.902,0.89861,-1.2091
21.318,46.898,-113.94,1.742,132.32,-22.315,3.1373,-0.076573,5.8165,0.085233,6.4743,0.85898,-0.1378
21.878,46.907,-113.94,1.1079,156.12,-29.809,1.8467,-0.022552,3.1779,0.031908,4.4963,0.76673,-0.56776
30.785,46.97,-113.92,0.67104,88.902,61.173,2.1721,-0.017913,2.3732,0.022731,3.0115,0.76991,-0.23786
